epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5392,1.17576,0.59858,1.31158,0.99233,0.98807,0.9948,0.66248,1.25685,0.51143,1.44835,0.000552035,0.000552035,0.000552035
2,73.2398,1.16474,0.56646,1.30849,0.99781,1,0.995,0.64458,1.2799,0.50818,1.45557,0.00108029,0.00108029,0.00108029
3,97.7889,1.16591,0.57428,1.30129,0.9962,1,0.995,0.66623,1.22698,0.52034,1.40979,0.00158103,0.00158103,0.00158103
4,122.618,1.15961,0.5831,1.28783,0.97091,0.99915,0.99418,0.63806,1.33122,0.49993,1.48803,0.00154323,0.00154323,0.00154323
5,147.9,1.17347,0.58347,1.29419,0.99759,1,0.995,0.60224,1.36377,0.50964,1.53822,0.00150197,0.00150197,0.00150197
6,173.863,1.14525,0.56258,1.28261,0.99542,0.99901,0.995,0.63673,1.30521,0.50416,1.45297,0.00146071,0.00146071,0.00146071
7,200.296,1.11667,0.55721,1.26671,0.99746,1,0.995,0.65099,1.2847,0.48398,1.48293,0.00141945,0.00141945,0.00141945
8,226.392,1.0908,0.53837,1.25423,0.99775,1,0.995,0.65389,1.25706,0.48011,1.45529,0.00137819,0.00137819,0.00137819
9,252.172,1.08503,0.54555,1.23594,0.99804,1,0.995,0.63057,1.25989,0.46163,1.47332,0.00133693,0.00133693,0.00133693
10,278.36,1.05594,0.52492,1.22428,0.98807,1,0.995,0.64929,1.20571,0.4775,1.44559,0.00129568,0.00129568,0.00129568
11,304.514,1.08573,0.53263,1.24328,0.99853,1,0.995,0.67196,1.21166,0.46257,1.42207,0.00125442,0.00125442,0.00125442
12,330.498,1.06982,0.52478,1.23718,0.99667,1,0.995,0.66068,1.25077,0.47368,1.45061,0.00121316,0.00121316,0.00121316
13,356.569,1.01944,0.49426,1.19581,0.99826,1,0.995,0.66252,1.24232,0.45414,1.42511,0.0011719,0.0011719,0.0011719
14,382.784,1.03661,0.50391,1.21128,0.99785,1,0.995,0.67475,1.19587,0.44032,1.42058,0.00113064,0.00113064,0.00113064
15,408.89,1.02287,0.50505,1.20963,0.99736,1,0.995,0.64286,1.25062,0.46316,1.46826,0.00108938,0.00108938,0.00108938
16,434.938,1.00141,0.50237,1.18928,0.99868,1,0.995,0.68022,1.16346,0.44531,1.43014,0.00104813,0.00104813,0.00104813
17,460.998,0.999,0.49507,1.19286,0.99747,1,0.995,0.6612,1.1964,0.44512,1.43597,0.00100687,0.00100687,0.00100687
18,487.155,0.98909,0.47624,1.18835,0.99834,1,0.995,0.64528,1.27983,0.45495,1.47071,0.00096561,0.00096561,0.00096561
19,513.39,1.00234,0.494,1.18506,0.9985,1,0.995,0.65591,1.22266,0.45268,1.44046,0.000924352,0.000924352,0.000924352
20,539.462,0.96594,0.46381,1.16618,0.99727,1,0.995,0.65347,1.21652,0.45302,1.42129,0.000883093,0.000883093,0.000883093
21,565.521,0.94449,0.46228,1.17206,0.99622,1,0.995,0.67373,1.19289,0.45789,1.42824,0.000841835,0.000841835,0.000841835
22,591.689,0.93821,0.45689,1.16478,0.99838,1,0.995,0.67787,1.20225,0.44133,1.41652,0.000800577,0.000800577,0.000800577
23,617.655,0.92994,0.45526,1.15241,0.99775,1,0.995,0.6751,1.21727,0.43303,1.45521,0.000759318,0.000759318,0.000759318
